seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,hazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,class,log_genergy,log_gpuls,log_gdenergy,log_gdpuls,log_energy,genergy_S,gpuls_S,gdenergy_S,gdpuls_S,energy_S
0.0,0.0,0.0,15180,48,-72,-72,0.0,0,0,0,0,0,0,0,9.627734050949622,3.871201010907891,3.218875824868201,3.218875824868201,0.0,-0.3442487509482527,-1.651209248305565,-1.5932119136919551,-1.7618442466131206,0.0
0.0,0.0,0.0,14720,33,-70,-79,0.0,1,0,1,0,0,2000,0,9.596962392282869,3.49650756146648,3.295836866004329,2.8903717578961645,7.601402334583733,-0.3646711784827495,-1.9504361366572798,-1.4983072725808912,-2.2098166232031597,0.9631848084973409
0.0,0.0,0.0,8050,30,-81,-78,0.0,0,0,0,0,0,0,0,8.99342737041261,3.4011973816621555,2.772588722239781,2.9444389791664403,0.0,-0.7652232053383424,-2.0265500067385602,-2.1435516269051638,-2.136086572213786,0.0
0.0,0.0,0.0,28820,171,-23,40,0.0,1,0,1,0,0,3000,0,10.268824869553512,5.14166355650266,4.30406509320417,4.919980925828125,8.006700845440367,0.08122817662845602,-0.6366290498728078,-0.25500888877658207,0.5579081446756122,1.0145407756440374
0.0,0.0,0.0,12640,57,-63,-52,0.0,0,0,0,0,0,0,0,9.444621667700847,4.04305126783455,3.5263605246161616,3.80666248977032,0.0,-0.4657761413975542,-1.5139711468141548,-1.214036623883869,-0.9602949944799671,0.0
0.0,0.0,1.0,63760,195,-73,-65,0.0,0,0,0,0,0,0,0,11.062881313464096,5.272999558563747,3.1780538303479458,3.4657359027997265,0.0,0.6082247990622438,-0.5317452754596703,-1.6435516269051635,-1.4252076356405043,0.0
0.0,0.0,1.0,207930,614,-6,18,0.0,2,2,0,0,0,1000,0,12.24495676358014,6.419994928147142,4.51085950651685,4.74493212836325,6.90875477931522,1.392740527698787,0.38423512373311197,0.0,0.3191986926363363,0.8754184236235704
0.0,0.0,0.0,48990,194,-27,-3,0.0,1,0,1,0,0,4000,0,10.79937147463262,5.267858159063328,4.248495242049359,4.543294782270004,8.294299608857235,0.4333395045630819,-0.5358511518142658,-0.3235349469300085,0.04423113448312518,1.0509828356315012
0.0,0.0,0.0,100190,303,54,52,0.0,0,0,0,0,0,0,0,11.514823662253308,5.713732805509369,5.017279836814924,5.003946305945459,0.0,0.908168327224742,-0.179779586512371,0.6244931070159784,0.6724095303940729,0.0
0.0,0.0,1.0,247620,675,4,25,0.0,1,1,0,0,0,500,0,12.419650591974683,6.51471269087253,4.61512051684126,4.804021044733257,6.2166061010848646,1.5086807209054038,0.4598758947532778,0.1285696453769785,0.3997766974701552,0.7877152521890194
0.0,0.0,0.0,41950,135,-39,-36,0.0,1,0,1,0,0,5000,0,10.644233711895351,4.90527477843843,4.060443010546419,4.110873864173311,8.517393171418904,0.33037821308128723,-0.8254070458769361,-0.5554318817616662,-0.5454499253361785,1.079251347265903
0.0,0.0,0.0,53250,140,-19,-31,0.0,0,0,0,0,0,0,0,10.882753083571671,4.941642422609304,4.356708826689592,4.189654742026425,0.0,0.48867792114663033,-0.7963641655753027,-0.19009117769282355,-0.43801850932051883,0.0
0.0,0.0,1.0,166180,448,-30,-19,0.0,1,1,0,0,0,400,0,12.020826817218971,6.104793232414985,4.204692619390966,4.356708826689592,5.993961427306569,1.2439907434430189,0.1325178258787624,-0.37755022689179074,-0.21021123735757355,0.7595036199089549
0.0,0.0,0.0,64540,215,0,9,0.0,1,0,1,0,0,6000,0,11.075040465605952,5.3706380281276624,4.574710978503383,4.663439094112067,8.699681400989514,0.6162945429193163,-0.4537720536844056,0.07873855321910908,0.20806878010425311,1.1023493554704513
0.0,0.0,0.0,75670,207,18,4,0.0,1,1,0,0,0,600,0,11.234137059688567,5.332718793265369,4.74493212836325,4.61512051684126,6.398594934535208,0.721883217836863,-0.48405402064549646,0.2886470588536531,0.142178004099658,0.8107753234732376
0.0,1.0,1.0,225040,575,-3,5,0.0,2,0,2,0,0,7000,0,12.32403344316374,6.354370040797351,4.543294782270004,4.624972813284271,8.853808274977197,1.4452218637214551,0.33182766673223796,0.039997616446569094,0.15561332224693963,1.1218789971170608
0.0,1.0,0.0,31290,117,-52,-41,0.0,0,0,0,0,0,0,0,10.351053836662928,4.762173934797756,3.80666248977032,4.02535169073515,0.0,0.13580161188636658,-0.9396861191485372,-0.8683817702985596,-0.6620742692579238,0.0
0.0,1.0,0.0,22890,81,-63,-58,0.0,0,0,0,0,0,0,0,10.038455412946613,4.394449154672439,3.5263605246161616,3.6635616461296463,0.0,-0.07166262411342916,-1.233347889565803,-1.214036623883869,-1.1554378601639073,0.0
0.0,1.0,0.0,13170,59,-77,-67,0.0,0,0,0,0,0,0,0,9.485696794737327,4.07753744390572,2.995732273553991,3.4011973816621555,0.0,-0.43851554376590607,-1.4864307903646115,-1.8683817702985597,-1.5132171235049734,0.0
0.0,1.0,0.0,8900,38,-83,-77,0.0,0,0,0,0,0,0,0,9.093806555720231,3.6375861597263857,2.6390573296152584,2.995732273553991,0.0,-0.6986038963138458,-1.8377720107344322,-2.308216094888067,-2.0661392525299798,0.0
0.0,0.0,0.0,13250,32,-71,-79,0.0,0,0,0,0,0,0,0,9.491752831414368,3.4657359027997265,3.258096538021482,2.8903717578961645,0.0,-0.4344962943805372,-1.9750101122258423,-1.54484682336855,-2.2098166232031597,0.0
0.0,0.0,0.0,11710,70,-72,-47,0.0,1,0,1,0,0,4000,0,9.368198456591765,4.248495242049359,3.218875824868201,3.912023005428146,8.294299608857235,-0.5164964326802303,-1.3499053985963716,-1.5932119136919551,-0.8166176238067875,1.0509828356315012
0.0,0.0,0.0,10640,62,-68,-43,0.0,0,0,0,0,0,0,0,9.272375762895637,4.127134385045092,3.367295829986474,3.9889840465642745,0.0,-0.580091705179591,-1.4468231100301359,-1.4101875274373927,-0.7116678713718197,0.0
0.0,0.0,0.0,45630,155,49,52,0.0,0,0,0,0,0,0,0,10.728320673921449,5.043425116919247,4.983606621708336,5.003946305945459,0.0,0.38618475595150836,-0.7150814024209917,0.5829689235126163,0.6724095303940729,0.0
0.0,0.0,1.0,424650,1069,1,7,0.0,2,0,2,0,0,6000,0,12.959020579208156,6.974478911025045,4.584967478670572,4.6443908991413725,8.699681400989514,1.8666479204590456,0.8270411484575015,0.09138637415621101,0.18209325642375396,1.1023493554704513
0.0,0.0,0.0,38820,213,-82,-57,0.0,1,0,1,0,0,4000,0,10.566690856723,5.3612921657094255,2.70805020110221,3.688879454113936,8.294299608857235,0.2789148403159333,-0.46123557709145024,-2.2231374159742865,-1.1209126297236465,1.0509828356315012
0.0,0.0,0.0,56960,200,-70,-58,0.0,0,0,0,0,0,0,0,10.950104546085855,5.298317366548036,3.295836866004329,3.6635616461296463,0.0,0.5333775058337707,-0.5115266970075543,-1.4983072725808912,-1.1554378601639073,0.0
0.0,0.0,1.0,212260,729,-50,-28,0.0,2,1,1,0,0,1400,0,12.265567217315814,6.591673732008658,3.8501476017100575,4.23410650459726,7.244941546337007,1.4064192020409239,0.5213363043168905,-0.8147580292291591,-0.37740080706184953,0.918017140618196
0.0,0.0,0.0,42950,172,-76,-61,0.0,1,0,1,0,0,6000,0,10.667791927412402,5.147494476813453,3.044522437723423,3.58351893845611,8.699681400989514,0.3460132477230451,-0.6319725282724801,-1.8082160948880672,-1.264590000396826,1.1023493554704513
0.0,0.0,1.0,172290,437,-57,-55,0.0,1,1,0,0,0,600,0,12.056934382526451,6.07993319509559,3.688879454113936,3.737669618283368,6.398594934535208,1.2679544869618513,0.11266481904749878,-1.013626124622833,-1.0543787630392525,0.8107753234732376
0.0,0.0,1.0,395110,1043,46,40,0.0,3,0,3,0,0,6000,0,12.886919486127278,6.949856455000773,4.962844630259907,4.919980925828125,8.699681400989514,1.8187961174558758,0.8073778719558609,0.5573662378150707,0.5579081446756122,1.1023493554704513
0.0,0.0,0.0,51320,239,11,23,0.0,1,0,1,0,0,6000,0,10.845835818729572,5.476463551931511,4.68213122712422,4.787491742782046,8.699681400989514,0.464176799053261,-0.36926072250628383,0.21120401877056283,0.3772361221076936,1.1023493554704513
