seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,hazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,class,log_genergy,log_gpuls,log_gdenergy,log_gdpuls,log_energy
0.0,0.0,0.0,15180,48,-72,-72,0.0,0,0,0,0,0,0,0,9.627734050949622,3.871201010907891,3.2188758248682006,3.2188758248682006,0.0
0.0,0.0,0.0,14720,33,-70,-79,0.0,1,0,1,0,0,2000,0,9.596962392282867,3.4965075614664802,3.295836866004329,2.8903717578961645,7.601402334583733
0.0,0.0,0.0,8050,30,-81,-78,0.0,0,0,0,0,0,0,0,8.99342737041261,3.4011973816621555,2.772588722239781,2.9444389791664403,0.0
0.0,0.0,0.0,28820,171,-23,40,0.0,1,0,1,0,0,3000,0,10.268824869553512,5.14166355650266,4.30406509320417,4.919980925828125,8.006700845440367
0.0,0.0,0.0,12640,57,-63,-52,0.0,0,0,0,0,0,0,0,9.444621667700849,4.04305126783455,3.5263605246161616,3.8066624897703196,0.0
0.0,0.0,1.0,63760,195,-73,-65,0.0,0,0,0,0,0,0,0,11.062881313464096,5.272999558563747,3.1780538303479458,3.4657359027997265,0.0
0.0,0.0,1.0,207930,614,-6,18,0.0,2,2,0,0,0,1000,0,12.24495676358014,6.419994928147142,4.51085950651685,4.74493212836325,6.90875477931522
0.0,0.0,0.0,48990,194,-27,-3,0.0,1,0,1,0,0,4000,0,10.79937147463262,5.267858159063328,4.248495242049359,4.543294782270004,8.294299608857235
0.0,0.0,0.0,100190,303,54,52,0.0,0,0,0,0,0,0,0,11.514823662253308,5.713732805509369,5.017279836814924,5.003946305945459,0.0
0.0,0.0,1.0,247620,675,4,25,0.0,1,1,0,0,0,500,0,12.419650591974683,6.51471269087253,4.61512051684126,4.804021044733257,6.2166061010848646
0.0,0.0,0.0,41950,135,-39,-36,0.0,1,0,1,0,0,5000,0,10.644233711895351,4.90527477843843,4.060443010546419,4.110873864173311,8.517393171418904
0.0,0.0,0.0,53250,140,-19,-31,0.0,0,0,0,0,0,0,0,10.882753083571671,4.941642422609304,4.356708826689592,4.189654742026425,0.0
0.0,0.0,1.0,166180,448,-30,-19,0.0,1,1,0,0,0,400,0,12.020826817218973,6.104793232414985,4.204692619390966,4.356708826689592,5.993961427306569
0.0,0.0,0.0,64540,215,0,9,0.0,1,0,1,0,0,6000,0,11.075040465605953,5.3706380281276624,4.574710978503383,4.663439094112067,8.699681400989514
0.0,0.0,0.0,75670,207,18,4,0.0,1,1,0,0,0,600,0,11.234137059688567,5.332718793265369,4.74493212836325,4.61512051684126,6.398594934535208
0.0,1.0,1.0,225040,575,-3,5,0.0,2,0,2,0,0,7000,0,12.324033443163739,6.354370040797351,4.543294782270004,4.624972813284271,8.853808274977197
0.0,1.0,0.0,31290,117,-52,-41,0.0,0,0,0,0,0,0,0,10.351053836662928,4.762173934797756,3.8066624897703196,4.02535169073515,0.0
0.0,1.0,0.0,22890,81,-63,-58,0.0,0,0,0,0,0,0,0,10.038455412946613,4.394449154672439,3.5263605246161616,3.6635616461296463,0.0
